id,price,price_m,area,room,year,loc,url,offer,seller,addons,market,floor,floor_count,seller_type,base_year
ID4dzCO,606267,7814,77.59,2,2023,"Wrocław, Maślice, ul. Maślicka",https://www.otodom.pl/pl/oferta/ID4dzCO,"Nowe mieszkanie, 3C.2.2",Omega Buildings,dwupoziomowe,pierwotny,2,2,Deweloper,2023
ID4kv25,467294,8569,54.53,3,2023,"Krzyki, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kv25,"Apartament 55m2, Bezpośrednio, Bez Prowizji",Golden Eye Nieruchomości,"piwnica, pom. użytkowe",pierwotny,4,5,Biuro nieruchomości,2023
ID4kv16,550000,11000,50.0,2,2004,"Wrocław, Krzyki, Klecina",https://www.otodom.pl/pl/oferta/ID4kv16,Wygodne 2 pokoje osobna kuchnia duży balkon park,Oferta Prywatna,oddzielna kuchnia,wtórny,1,3,Oferta Prywatna,2023
ID4kwJw,449000,12939,34.7,1,2024,"Wrocław, Osobowice, ul. Jarocińska",https://www.otodom.pl/pl/oferta/ID4kwJw,"Apartament F2 o powierzchni 34,70 m2 + taras",MT Project Sp. z o.o.,brak informacji,pierwotny,1,2,Deweloper,2023
ID4fZDn,783850,12850,61.0,3,2021,"Wrocław, Psie Pole, ul. Chałupnicza",https://www.otodom.pl/pl/oferta/ID4fZDn,3 pokoje olimpia port inwestycyjnie,Expander Advisors,brak informacji,wtórny,2,4,Biuro nieruchomości,2023
ID4kwTh,549000,8338,65.84,2,1935,"Wrocław, Grabiszyn, ul. Skwierzyńska",https://www.otodom.pl/pl/oferta/ID4kwTh,Mieszkanie z potencjałem inwestycyjnym,Klos Nieruchomości Kancelaria Prawna,oddzielna kuchnia,wtórny,parter,4,Biuro nieruchomości,2023
ID4iyge,435856,13260,32.87,1,2022,"Wrocław, Stare Miasto, ul. Jęczmienna",https://www.otodom.pl/pl/oferta/ID4iyge,Nowe Mieszkanie Jęczmienna 18 | M/4/2,Town-House,brak informacji,pierwotny,4,4,Deweloper,2023
ID4kwOT,589047,9908,59.45,3,0,"Wrocław, Fabryczna, ul. Jordanowska",https://www.otodom.pl/pl/oferta/ID4kwOT,Zielony Oporów | Klub Fitness Dla Mieszkańców,WRE NIERUCHOMOŚCI SP.Z O.O.,brak informacji,pierwotny,3,3,Biuro nieruchomości,2023
ID4kwAU,669000,10704,62.5,3,1965,"Borek, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwAU,Sokola/3 pokoje/pełen rozkład/balkon,FOCUS NIERUCHOMOŚCI,"piwnica, oddzielna kuchnia",wtórny,parter,3,Biuro nieruchomości,2023
ID4fZxZ,873800,12850,68.0,3,2021,"Wrocław, Psie Pole, ul. Chałupnicza",https://www.otodom.pl/pl/oferta/ID4fZxZ,3 pokoje olimpia port wysoki standard inwestycja,Expander Advisors,brak informacji,wtórny,4,4,Biuro nieruchomości,2023
ID4kv1V,443377,9108,48.68,3,2023,"Krzyki, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kv1V,"Apartament 49m2, 3 pok, Gwarancja najniższej ceny",Golden Eye Nieruchomości,"piwnica, pom. użytkowe",pierwotny,2,5,Biuro nieruchomości,2023
ID4kwJ4,449000,12939,34.7,1,2024,"Wrocław, Osobowice, ul. Jarocińska",https://www.otodom.pl/pl/oferta/ID4kwJ4,"Apartament F2 o powierzchni 34,70 m2 + taras",MT Project Sp. z o.o.,brak informacji,pierwotny,1,2,Deweloper,2023
ID4i7aF,575380,13000,44.26,2,2023,"Wrocław, Krzyki, ul. Drukarska",https://www.otodom.pl/pl/oferta/ID4i7aF,2 pokoje z tarasem przy Uniwersytecie Ekonomicznym,SDP Nieruchomości,brak informacji,wtórny,1,8,Biuro nieruchomości,2023
ID4kwIY,639000,12197,52.39,2,2024,"Wrocław, Osobowice, ul. Jarocińska",https://www.otodom.pl/pl/oferta/ID4kwIY,"Apartament F1: 52,39 m2 z ogrodem 88,52 m",MT Project Sp. z o.o.,brak informacji,pierwotny,parter,2,Deweloper,2023
ID4aTb5,649000,7848,82.7,4,0,"Rynek, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4aTb5,4 pokojowe | Rozkład | 10 min. od Rynku | Worcella,Złote Klucze,"piwnica, oddzielna kuchnia",wtórny,parter,4,Biuro nieruchomości,2023
ID4kwQ3,644448,9800,65.76,3,2022,"Wrocław, Fabryczna, ul. Królewiecka",https://www.otodom.pl/pl/oferta/ID4kwQ3,Ogród ~90m2 | Kameralne osiedle!,Expander Advisors,pom. użytkowe,pierwotny,parter,2,Biuro nieruchomości,2023
ID4kwOQ,798095,15732,50.73,1,0,"Wrocław, Śródmieście, ul. Księcia Józefa Poniatowskiego",https://www.otodom.pl/pl/oferta/ID4kwOQ,Tradycja Z Nowoczesnością Z Sercu Wrocławia,WRE NIERUCHOMOŚCI SP.Z O.O.,brak informacji,pierwotny,2,7,Biuro nieruchomości,2023
ID4kwbk,499000,10617,47.0,2,2001,"Wrocław, Krzyki, ul. Krzycka",https://www.otodom.pl/pl/oferta/ID4kwbk,HIT 2M + loggia + piwnica 7 m2 | KRZYKI !,Globfinanse,piwnica,wtórny,parter,4,Biuro nieruchomości,2023
ID4kwyA,529000,11019,48.01,3,1970,"Plac Grunwaldzki, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwyA,okolice Placu Grunwaldzkiego WINDA/ROZKŁAD/BALKON,Home Expert,"piwnica, oddzielna kuchnia",wtórny,9,10,Biuro nieruchomości,2023
ID4kwgY,176553,2761,63.95,3,2025,"Wrocław, Ratyń, ul. Malczycka",https://www.otodom.pl/pl/oferta/ID4kwgY,"""Aleja Platanowa"" Nowe mieszkanie bez kredytu!",Spółdzielnia Mieszkaniowa JEDYNKA,pom. użytkowe,pierwotny,1,3,Deweloper,2023
ID4kwlc,2049000,17588,116.5,3,2022,"Centrum, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwlc,Okolice Uniwersytetu| Sąsiedztwo Odry | Kępa,OTO NIERUCHOMOŚCI,oddzielna kuchnia,pierwotny,9,10,Biuro nieruchomości,2023
ID4kwej,770465,11150,69.1,4,2021,"Wrocław, Krzyki, ul. Racławicka",https://www.otodom.pl/pl/oferta/ID4kwej,4pokoje/Balkon/Widok na zieleń/Przy Parku.,SDP Nieruchomości,brak informacji,pierwotny,2,4,Biuro nieruchomości,2023
ID4hBS9,1755600,20900,84.0,3,2020,"Szczepin, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4hBS9,3-pokojowy apartament premium przy ul. Legnickiej,homfi sp. z o.o.,brak informacji,wtórny,9,10,Biuro nieruchomości,2023
ID4kwac,499000,10396,48.0,2,2004,"Oporów, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwac,2M +antresola ! Balkon z widokiem | OKAZJA !!!,Globfinanse,"dwupoziomowe, pom. użytkowe",wtórny,2,2,Biuro nieruchomości,2023
ID4irOr,640000,9922,64.5,3,2016,"Stabłowice, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4irOr,Wysoki standard/3 pokoje/ Stabłowice,Novo Nieruchomości,brak informacji,wtórny,parter,4,Biuro nieruchomości,2023
ID4kwwl,576738,9428,61.17,3,2022,"Wrocław, Zakrzów, ul. Odolanowska",https://www.otodom.pl/pl/oferta/ID4kwwl,Dwa Balkony Osobna Kuchnia południe zachód,A.M. NIERUCHOMOŚCI IZABELA MATEUSZUK,brak informacji,pierwotny,2,4,Biuro nieruchomości,2023
ID4kwAw,595000,9917,60.0,2,1930,"Sępolno, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwAw,Zielone Sępolno - duże 2-pok. mieszkanie,SkyHouse Biuro Nieruchomości,piwnica,wtórny,1,2,Biuro nieruchomości,2023
ID4kwly,449000,7361,61.0,3,2023,"Wrocław, Lipa Piotrowska, ul. Cynamonowa",https://www.otodom.pl/pl/oferta/ID4kwly,"Trzy pokoje, balkon, miejsce postojowe w garażu.",SDP Nieruchomości,brak informacji,wtórny,3,3,Biuro nieruchomości,2023
ID4kwl4,385000,15157,25.4,1,2023,"Wrocław, Szczepin, ul. Długa",https://www.otodom.pl/pl/oferta/ID4kwl4,Ustawna kawalerka w centrum Idealne pod inwestycję,OTO NIERUCHOMOŚCI,oddzielna kuchnia,pierwotny,parter,8,Biuro nieruchomości,2023
ID4kwvb,595000,11900,50.0,2,2009,"Wrocław, Muchobór Wielki, ul. Melchiora Wańkowicza",https://www.otodom.pl/pl/oferta/ID4kwvb,Mieszkanie 2 pokojowe Muchobór Wielki !,SPRAWDZONY POŚREDNIK NIERUCHOMOŚCI,"piwnica, pom. użytkowe",wtórny,1,4,Biuro nieruchomości,2023
ID4k6Hx,555000,8810,63.0,3,1980,"Krzyki, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4k6Hx,"Duże m. 63 m2, balkon, piwnica, Fabryczna!",Novo nieruchomości,"piwnica, oddzielna kuchnia, pom. użytkowe",wtórny,7,3,Biuro nieruchomości,2023
